product,origin,quantity,lowest_price,highest_price,date
Ananas,import,"1,00 szt.",5.0,10.0,2021-06-29
Arbuz,import,"1,00 Kg",3.0,5.0,2021-06-29
Arbuz bezpestkowy,import,"1,00 Kg",3.7,3.99,2021-06-29
Avocado,import,"1,00 szt.",4.0,6.0,2021-06-29
Banan,import,"18,00 Kg",75.0,80.0,2021-06-29
Cytryna Hiszpania,import,"10,00 Kg",50.0,65.0,2021-06-29
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-06-29
Granat,import,"1,00 szt.",4.0,6.0,2021-06-29
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-06-29
Gruszka,import,"12,00 Kg",80.0,85.0,2021-06-29
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-06-29
Limonka,import,"1,00 Kg",12.0,15.0,2021-06-29
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-06-29
Mango,import,"1,00 szt.",3.5,6.0,2021-06-29
Melon,import,"1,00 szt.",5.0,8.0,2021-06-29
Morela,import,"5,00 Kg",60.0,70.0,2021-06-29
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-06-29
Śliwka,import,"5,00 Kg",55.0,60.0,2021-06-29
Truskawka Grecja,import,"1,00 Kg",12.0,14.0,2021-06-29
Winogrono ciemne Chile,import,"7,00 Kg",80.0,90.0,2021-06-29
Ananas,import,"1,00 szt.",5.0,10.0,2021-06-30
Arbuz,import,"1,00 Kg",3.0,5.0,2021-06-30
Arbuz bezpestkowy,import,"1,00 Kg",3.7,3.99,2021-06-30
Avocado,import,"1,00 szt.",4.0,6.0,2021-06-30
Banan,import,"18,00 Kg",75.0,80.0,2021-06-30
Cytryna Hiszpania,import,"10,00 Kg",50.0,65.0,2021-06-30
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-06-30
Granat,import,"1,00 szt.",4.0,6.0,2021-06-30
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-06-30
Gruszka,import,"12,00 Kg",80.0,85.0,2021-06-30
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-06-30
Limonka,import,"1,00 Kg",12.0,15.0,2021-06-30
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-06-30
Mango,import,"1,00 szt.",3.5,6.0,2021-06-30
Melon,import,"1,00 szt.",5.0,8.0,2021-06-30
Morela,import,"5,00 Kg",60.0,70.0,2021-06-30
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-06-30
Śliwka,import,"5,00 Kg",55.0,60.0,2021-06-30
Truskawka Grecja,import,"1,00 Kg",12.0,14.0,2021-06-30
Winogrono ciemne Chile,import,"7,00 Kg",80.0,90.0,2021-06-30
Winogrono Jasne,import,"5,00 Kg",65.0,75.0,2021-06-30
Borówka,krajowe,"250,00 g",12.0,12.0,2021-06-30
Czereśnia,krajowe,"1,00 Kg",8.0,14.0,2021-06-30
Gruszka  Konferencja,krajowe,"1,00 Kg",2.0,4.0,2021-06-30
Jabłko Alva,krajowe,"15,00 Kg",20.0,35.0,2021-06-30
Jabłko Champion,krajowe,"15,00 Kg",15.0,30.0,2021-06-30
Jabłko Cortland,krajowe,"15,00 Kg",25.0,50.0,2021-06-30
Jabłko Empire,krajowe,"15,00 Kg",25.0,50.0,2021-06-30
Jabłko Jonagored,krajowe,"15,00 Kg",15.0,25.0,2021-06-30
Jabłko Ligol,krajowe,"15,00 Kg",15.0,30.0,2021-06-30
Jabłko Lobo,krajowe,"15,00 Kg",25.0,50.0,2021-06-30
Jabłko Prince,krajowe,"15,00 Kg",15.0,25.0,2021-06-30
Jabłko Szara Reneta,krajowe,"15,00 Kg",35.0,60.0,2021-06-30
Malina,krajowe,"250,00 g",8.0,10.0,2021-06-30
Truskawka,krajowe,"2,00 Kg",8.0,12.0,2021-06-30
Batat,import,"1,00 Kg",8.0,10.0,2021-06-30
Cukinia,import,"1,00 Kg",5.0,8.0,2021-06-30
Cykoria,import,"1,00 szt.",6.0,6.0,2021-06-30
Imbir,import,"1,00 Kg",18.0,20.0,2021-06-30
Papryka Chili,import,"1,00 Kg",17.0,23.0,2021-06-30
Papryka Czerwona,import,"5,00 Kg",55.0,65.0,2021-06-30
Pomidor Cherry Hiszpania,import,"250,00 g",5.0,6.0,2021-06-30
Pomidor Hiszpania gałązka,import,"3,00 Kg",50.0,55.0,2021-06-30
Rukola,import,"100,00 g",3.5,4.0,2021-06-30
Sałata lodowa,import,"1,00 szt.",2.5,3.0,2021-06-30
Sałata mix,import,"150,00 g",3.5,4.0,2021-06-30
Seler naciowy,import,"1,00 szt.",3.0,4.0,2021-06-30
Bób,krajowe,"1,00 Kg",5.0,10.0,2021-06-30
Botwinka,krajowe,"10,00 szt.",15.0,25.0,2021-06-30
Brokuł,krajowe,"1,00 szt.",2.0,3.0,2021-06-30
Burak młody cięty,krajowe,"10,00 Kg",10.0,30.0,2021-06-30
Cebula dymka ze szczypiorem młoda,krajowe,"1,00 szt.",1.5,2.5,2021-06-30
Cebula z łuską,krajowe,"15,00 Kg",18.0,25.0,2021-06-30
Chrzan,krajowe,"5,00 Kg",50.0,70.0,2021-06-30
Czosnek,krajowe,"1,00 szt.",1.0,3.0,2021-06-30
Fasola  żółta,krajowe,"1,00 Kg",12.0,16.0,2021-06-30
Kalafior,krajowe,"1,00 szt.",3.0,5.5,2021-06-30
Kapusta czerwona,krajowe,"10,00 Kg",40.0,50.0,2021-06-30
Kapusta kwaszona ,krajowe,"1,00 Kg",3.0,4.0,2021-06-30
Kapusta kwaszona młoda,krajowe,"1,00 Kg",7.0,7.0,2021-06-30
Kapusta młoda,krajowe,"1,00 szt.",1.5,3.0,2021-06-30
Kapusta pekińska ,krajowe,"5,00 Kg",13.0,20.0,2021-06-30
Kapusta włoska,krajowe,"1,00 szt.",8.0,10.0,2021-06-30
Kapusta worek,krajowe,"20,00 Kg",30.0,40.0,2021-06-30
Koper,krajowe,"10,00 szt.",5.0,10.0,2021-06-30
Koper do kiszenia,krajowe,"10,00 szt.",12.0,20.0,2021-06-30
Marchew ,krajowe,"10,00 Kg",18.0,25.0,2021-06-30
Nać Pietruszki,krajowe,"10,00 szt.",8.0,14.0,2021-06-30
Ogórek,krajowe,"5,00 Kg",7.5,13.0,2021-06-30
Ogórek kiszeniak,krajowe,"1,00 Kg",2.0,4.0,2021-06-30
Ogórek kiszony,krajowe,"1,00 Kg",6.0,7.0,2021-06-30
Ogórek małosolny,krajowe,"1,00 Kg",11.0,11.0,2021-06-30
Pieczarka,krajowe,"4,00 Kg",28.0,38.0,2021-06-30
Pietruszka,krajowe,"5,00 Kg",45.0,60.0,2021-06-30
Pomidor,krajowe,"6,00 Kg",15.0,25.0,2021-06-30
Pomidor malinowy,krajowe,"6,00 Kg",20.0,30.0,2021-06-30
Por,krajowe,"10,00 szt.",10.0,20.0,2021-06-30
Rabarbar,krajowe,"5,00 Kg",10.0,16.0,2021-06-30
Rzodkiewka,krajowe,"1,00 szt.",1.0,1.5,2021-06-30
Sałata,krajowe,"1,00 szt.",2.0,3.0,2021-06-30
Seler,krajowe,"5,00 Kg",15.0,20.0,2021-06-30
Szczaw,krajowe,"1,00 szt.",1.0,2.0,2021-06-30
Szczypiorek,krajowe,"10,00 szt.",8.0,11.0,2021-06-30
Szparagi,krajowe,"0,50 Kg",6.0,8.0,2021-06-30
Włoszczyzna ,krajowe,"10,00 szt.",28.0,35.0,2021-06-30
Włoszczyzna młoda,krajowe,"10,00 szt.",25.0,35.0,2021-06-30
Zestaw do kiszenia,krajowe,"1,00 szt.",2.0,2.5,2021-06-30
Ziemniak ,krajowe,"15,00 Kg",6.0,12.0,2021-06-30
Ziemniak młody drobny,krajowe,"15,00 Kg",8.0,15.0,2021-06-30
Zmieniak młody,krajowe,"15,00 Kg",12.0,20.0,2021-06-30
Ananas,import,"1,00 szt.",5.0,10.0,2021-07-01
Arbuz,import,"1,00 Kg",3.0,5.0,2021-07-01
Arbuz bezpestkowy,import,"1,00 Kg",3.7,3.99,2021-07-01
Avocado,import,"1,00 szt.",4.0,6.0,2021-07-01
Banan,import,"18,00 Kg",75.0,80.0,2021-07-01
Cytryna Hiszpania,import,"10,00 Kg",50.0,65.0,2021-07-01
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-07-01
Granat,import,"1,00 szt.",4.0,6.0,2021-07-01
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-07-01
Gruszka,import,"12,00 Kg",80.0,85.0,2021-07-01
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-07-01
Limonka,import,"1,00 Kg",12.0,15.0,2021-07-01
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-07-01
Mango,import,"1,00 szt.",3.5,6.0,2021-07-01
Melon,import,"1,00 szt.",5.0,8.0,2021-07-01
Morela,import,"5,00 Kg",60.0,70.0,2021-07-01
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-07-01
Śliwka,import,"5,00 Kg",55.0,60.0,2021-07-01
Truskawka Grecja,import,"1,00 Kg",12.0,14.0,2021-07-01
Winogrono ciemne Chile,import,"7,00 Kg",80.0,90.0,2021-07-01
Winogrono Jasne,import,"5,00 Kg",65.0,75.0,2021-07-01
Borówka,krajowe,"250,00 g",12.0,12.0,2021-07-01
Czereśnia,krajowe,"1,00 Kg",8.0,14.0,2021-07-01
Gruszka  Konferencja,krajowe,"1,00 Kg",2.0,4.0,2021-07-01
Jabłko Alva,krajowe,"15,00 Kg",20.0,35.0,2021-07-01
Jabłko Champion,krajowe,"15,00 Kg",15.0,30.0,2021-07-01
Jabłko Cortland,krajowe,"15,00 Kg",25.0,50.0,2021-07-01
Jabłko Empire,krajowe,"15,00 Kg",25.0,50.0,2021-07-01
Jabłko Jonagored,krajowe,"15,00 Kg",15.0,25.0,2021-07-01
Jabłko Ligol,krajowe,"15,00 Kg",15.0,30.0,2021-07-01
Jabłko Lobo,krajowe,"15,00 Kg",25.0,50.0,2021-07-01
Jabłko Prince,krajowe,"15,00 Kg",15.0,25.0,2021-07-01
Jabłko Szara Reneta,krajowe,"15,00 Kg",35.0,60.0,2021-07-01
Malina,krajowe,"250,00 g",8.0,10.0,2021-07-01
Truskawka,krajowe,"2,00 Kg",8.0,12.0,2021-07-01
Batat,import,"1,00 Kg",8.0,10.0,2021-07-01
Cukinia,import,"1,00 Kg",5.0,8.0,2021-07-01
Cykoria,import,"1,00 szt.",6.0,6.0,2021-07-01
Imbir,import,"1,00 Kg",18.0,20.0,2021-07-01
Papryka Chili,import,"1,00 Kg",17.0,23.0,2021-07-01
Papryka Czerwona,import,"5,00 Kg",55.0,65.0,2021-07-01
Pomidor Cherry Hiszpania,import,"250,00 g",5.0,6.0,2021-07-01
Pomidor Hiszpania gałązka,import,"3,00 Kg",50.0,55.0,2021-07-01
Rukola,import,"100,00 g",3.5,4.0,2021-07-01
Sałata lodowa,import,"1,00 szt.",2.5,3.0,2021-07-01
Sałata mix,import,"150,00 g",3.5,4.0,2021-07-01
Seler naciowy,import,"1,00 szt.",3.0,4.0,2021-07-01
Bób,krajowe,"1,00 Kg",5.0,10.0,2021-07-01
Botwinka,krajowe,"10,00 szt.",15.0,25.0,2021-07-01
Brokuł,krajowe,"1,00 szt.",2.0,3.0,2021-07-01
Burak młody cięty,krajowe,"10,00 Kg",10.0,30.0,2021-07-01
Cebula biała,krajowe,"5,00 Kg",17.5,19.99,2021-07-01
Cebula dymka ze szczypiorem młoda,krajowe,"1,00 szt.",1.5,2.5,2021-07-01
Cebula z łuską,krajowe,"15,00 Kg",18.0,25.0,2021-07-01
Chrzan,krajowe,"5,00 Kg",50.0,70.0,2021-07-01
Czosnek,krajowe,"1,00 szt.",1.0,3.0,2021-07-01
Fasola  żółta,krajowe,"1,00 Kg",12.0,16.0,2021-07-01
Kalafior,krajowe,"1,00 szt.",3.0,5.5,2021-07-01
Kapusta czerwona,krajowe,"10,00 Kg",40.0,50.0,2021-07-01
Kapusta kwaszona ,krajowe,"1,00 Kg",3.0,4.0,2021-07-01
Kapusta kwaszona młoda,krajowe,"1,00 Kg",7.0,7.0,2021-07-01
Kapusta młoda,krajowe,"1,00 szt.",1.5,3.0,2021-07-01
Kapusta pekińska ,krajowe,"5,00 Kg",13.0,20.0,2021-07-01
Kapusta włoska,krajowe,"1,00 szt.",8.0,10.0,2021-07-01
Kapusta worek,krajowe,"20,00 Kg",30.0,40.0,2021-07-01
Koper,krajowe,"10,00 szt.",5.0,10.0,2021-07-01
Koper do kiszenia,krajowe,"10,00 szt.",12.0,20.0,2021-07-01
Marchew ,krajowe,"10,00 Kg",18.0,25.0,2021-07-01
Nać Pietruszki,krajowe,"10,00 szt.",8.0,14.0,2021-07-01
Ogórek,krajowe,"5,00 Kg",7.5,13.0,2021-07-01
Ogórek kiszeniak,krajowe,"1,00 Kg",2.0,4.0,2021-07-01
Ogórek kiszony,krajowe,"1,00 Kg",6.0,7.0,2021-07-01
Ogórek małosolny,krajowe,"1,00 Kg",11.0,11.0,2021-07-01
Pieczarka,krajowe,"4,00 Kg",28.0,38.0,2021-07-01
Pietruszka,krajowe,"5,00 Kg",45.0,60.0,2021-07-01
Pietruszka z nacią,krajowe,"10,00 szt.",22.0,28.0,2021-07-01
Pomidor,krajowe,"6,00 Kg",15.0,25.0,2021-07-01
Pomidor malinowy,krajowe,"6,00 Kg",20.0,30.0,2021-07-01
Por,krajowe,"10,00 szt.",10.0,20.0,2021-07-01
Rabarbar,krajowe,"5,00 Kg",10.0,16.0,2021-07-01
Rzodkiewka,krajowe,"1,00 szt.",1.0,1.5,2021-07-01
Sałata,krajowe,"1,00 szt.",2.0,3.0,2021-07-01
Seler,krajowe,"5,00 Kg",15.0,20.0,2021-07-01
Seler z nacią,krajowe,"10,00 szt.",22.0,25.0,2021-07-01
Szczaw,krajowe,"1,00 szt.",1.0,2.0,2021-07-01
Szczypiorek,krajowe,"10,00 szt.",8.0,11.0,2021-07-01
Szparagi,krajowe,"0,50 Kg",6.0,8.0,2021-07-01
Włoszczyzna ,krajowe,"10,00 szt.",28.0,35.0,2021-07-01
Włoszczyzna młoda,krajowe,"10,00 szt.",25.0,35.0,2021-07-01
Zestaw do kiszenia,krajowe,"1,00 szt.",2.0,2.5,2021-07-01
Ziemniak ,krajowe,"15,00 Kg",6.0,12.0,2021-07-01
Ziemniak młody drobny,krajowe,"15,00 Kg",8.0,15.0,2021-07-01
Zmieniak młody,krajowe,"15,00 Kg",12.0,20.0,2021-07-01
Ananas,import,"1,00 szt.",5.0,10.0,2021-07-02
Arbuz,import,"1,00 Kg",3.0,5.0,2021-07-02
Arbuz bezpestkowy,import,"1,00 Kg",3.7,3.99,2021-07-02
Avocado,import,"1,00 szt.",4.0,6.0,2021-07-02
Banan,import,"18,00 Kg",75.0,80.0,2021-07-02
Cytryna Hiszpania,import,"10,00 Kg",50.0,65.0,2021-07-02
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-07-02
Granat,import,"1,00 szt.",4.0,6.0,2021-07-02
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-07-02
Gruszka,import,"12,00 Kg",80.0,85.0,2021-07-02
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-07-02
Limonka,import,"1,00 Kg",12.0,15.0,2021-07-02
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-07-02
Mango,import,"1,00 szt.",3.5,6.0,2021-07-02
Melon,import,"1,00 szt.",5.0,8.0,2021-07-02
Morela,import,"5,00 Kg",60.0,70.0,2021-07-02
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-07-02
Śliwka,import,"5,00 Kg",55.0,60.0,2021-07-02
Truskawka Grecja,import,"1,00 Kg",12.0,14.0,2021-07-02
Winogrono ciemne Chile,import,"7,00 Kg",80.0,90.0,2021-07-02
Winogrono Jasne,import,"5,00 Kg",65.0,75.0,2021-07-02
Borówka,krajowe,"250,00 g",12.0,12.0,2021-07-02
Czereśnia,krajowe,"1,00 Kg",8.0,14.0,2021-07-02
Gruszka  Konferencja,krajowe,"1,00 Kg",2.0,4.0,2021-07-02
Jabłko Alva,krajowe,"15,00 Kg",20.0,35.0,2021-07-02
Jabłko Champion,krajowe,"15,00 Kg",15.0,30.0,2021-07-02
Jabłko Cortland,krajowe,"15,00 Kg",25.0,50.0,2021-07-02
Jabłko Empire,krajowe,"15,00 Kg",25.0,50.0,2021-07-02
Jabłko Jonagored,krajowe,"15,00 Kg",15.0,25.0,2021-07-02
Jabłko Ligol,krajowe,"15,00 Kg",15.0,30.0,2021-07-02
Jabłko Lobo,krajowe,"15,00 Kg",25.0,50.0,2021-07-02
Jabłko Prince,krajowe,"15,00 Kg",15.0,25.0,2021-07-02
Jabłko Szara Reneta,krajowe,"15,00 Kg",35.0,60.0,2021-07-02
Malina,krajowe,"250,00 g",5.0,8.0,2021-07-02
Truskawka,krajowe,"2,00 Kg",8.0,12.0,2021-07-02
Batat,import,"1,00 Kg",8.0,10.0,2021-07-02
Cukinia,import,"1,00 Kg",5.0,8.0,2021-07-02
Cykoria,import,"1,00 szt.",6.0,6.0,2021-07-02
Imbir,import,"1,00 Kg",18.0,20.0,2021-07-02
Papryka Chili,import,"1,00 Kg",17.0,23.0,2021-07-02
Papryka Czerwona,import,"5,00 Kg",55.0,65.0,2021-07-02
Pomidor Cherry Hiszpania,import,"250,00 g",5.0,6.0,2021-07-02
Pomidor Hiszpania gałązka,import,"3,00 Kg",50.0,55.0,2021-07-02
Rukola,import,"100,00 g",3.5,4.0,2021-07-02
Sałata lodowa,import,"1,00 szt.",2.5,3.0,2021-07-02
Sałata mix,import,"150,00 g",3.5,4.0,2021-07-02
Seler naciowy,import,"1,00 szt.",3.0,4.0,2021-07-02
Bób,krajowe,"1,00 Kg",5.0,10.0,2021-07-02
Botwinka,krajowe,"10,00 szt.",15.0,25.0,2021-07-02
Brokuł,krajowe,"1,00 szt.",2.0,3.0,2021-07-02
Burak młody cięty,krajowe,"10,00 Kg",10.0,30.0,2021-07-02
Cebula biała,krajowe,"5,00 Kg",17.5,19.99,2021-07-02
Cebula dymka ze szczypiorem młoda,krajowe,"1,00 szt.",1.5,2.5,2021-07-02
Cebula z łuską,krajowe,"15,00 Kg",18.0,25.0,2021-07-02
Chrzan,krajowe,"5,00 Kg",50.0,70.0,2021-07-02
Czosnek,krajowe,"1,00 szt.",1.0,3.0,2021-07-02
Fasola  żółta,krajowe,"1,00 Kg",12.0,16.0,2021-07-02
Kalafior,krajowe,"1,00 szt.",3.0,5.5,2021-07-02
Kapusta czerwona,krajowe,"10,00 Kg",40.0,50.0,2021-07-02
Kapusta kwaszona ,krajowe,"1,00 Kg",3.0,4.0,2021-07-02
Kapusta kwaszona młoda,krajowe,"1,00 Kg",7.0,7.0,2021-07-02
Kapusta młoda,krajowe,"1,00 szt.",1.5,3.0,2021-07-02
Kapusta pekińska ,krajowe,"5,00 Kg",13.0,20.0,2021-07-02
Kapusta włoska,krajowe,"1,00 szt.",8.0,10.0,2021-07-02
Kapusta worek,krajowe,"20,00 Kg",30.0,40.0,2021-07-02
Koper,krajowe,"10,00 szt.",5.0,10.0,2021-07-02
Koper do kiszenia,krajowe,"10,00 szt.",12.0,20.0,2021-07-02
Marchew ,krajowe,"10,00 Kg",18.0,25.0,2021-07-02
Nać Pietruszki,krajowe,"10,00 szt.",8.0,14.0,2021-07-02
Ogórek,krajowe,"5,00 Kg",7.5,13.0,2021-07-02
Ogórek kiszeniak,krajowe,"1,00 Kg",2.0,4.0,2021-07-02
Ogórek kiszony,krajowe,"1,00 Kg",6.0,7.0,2021-07-02
Ogórek małosolny,krajowe,"1,00 Kg",11.0,11.0,2021-07-02
Pieczarka,krajowe,"4,00 Kg",28.0,38.0,2021-07-02
Pietruszka,krajowe,"5,00 Kg",45.0,60.0,2021-07-02
Pietruszka z nacią,krajowe,"10,00 szt.",22.0,28.0,2021-07-02
Pomidor,krajowe,"6,00 Kg",15.0,25.0,2021-07-02
Pomidor malinowy,krajowe,"6,00 Kg",20.0,30.0,2021-07-02
Por,krajowe,"10,00 szt.",10.0,20.0,2021-07-02
Rabarbar,krajowe,"5,00 Kg",10.0,16.0,2021-07-02
Rzodkiewka,krajowe,"1,00 szt.",1.0,1.5,2021-07-02
Sałata,krajowe,"1,00 szt.",2.0,3.0,2021-07-02
Seler,krajowe,"5,00 Kg",15.0,20.0,2021-07-02
Seler z nacią,krajowe,"10,00 szt.",22.0,25.0,2021-07-02
Szczaw,krajowe,"1,00 szt.",1.0,2.0,2021-07-02
Szczypiorek,krajowe,"10,00 szt.",8.0,11.0,2021-07-02
Szparagi,krajowe,"0,50 Kg",6.0,8.0,2021-07-02
Włoszczyzna ,krajowe,"10,00 szt.",28.0,35.0,2021-07-02
Włoszczyzna młoda,krajowe,"10,00 szt.",25.0,35.0,2021-07-02
Zestaw do kiszenia,krajowe,"1,00 szt.",2.0,2.5,2021-07-02
Ziemniak ,krajowe,"15,00 Kg",6.0,12.0,2021-07-02
Ziemniak młody drobny,krajowe,"15,00 Kg",8.0,15.0,2021-07-02
Zmieniak młody,krajowe,"15,00 Kg",12.0,20.0,2021-07-02
Ananas,import,"1,00 szt.",5.0,10.0,2021-07-05
Arbuz,import,"1,00 Kg",3.0,5.0,2021-07-05
Arbuz bezpestkowy,import,"1,00 Kg",3.7,3.99,2021-07-05
Avocado,import,"1,00 szt.",4.0,6.0,2021-07-05
Banan,import,"18,00 Kg",75.0,80.0,2021-07-05
Cytryna Hiszpania,import,"10,00 Kg",50.0,65.0,2021-07-05
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-07-05
Granat,import,"1,00 szt.",4.0,6.0,2021-07-05
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-07-05
Gruszka,import,"12,00 Kg",80.0,85.0,2021-07-05
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-07-05
Limonka,import,"1,00 Kg",12.0,15.0,2021-07-05
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-07-05
Mango,import,"1,00 szt.",3.5,6.0,2021-07-05
Melon,import,"1,00 szt.",5.0,8.0,2021-07-05
Morela,import,"5,00 Kg",60.0,70.0,2021-07-05
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-07-05
Śliwka,import,"5,00 Kg",55.0,60.0,2021-07-05
Truskawka Grecja,import,"1,00 Kg",12.0,14.0,2021-07-05
Winogrono ciemne Chile,import,"7,00 Kg",80.0,90.0,2021-07-05
Winogrono Jasne,import,"5,00 Kg",65.0,75.0,2021-07-05
Borówka,krajowe,"250,00 g",12.0,12.0,2021-07-05
Borówka luz,krajowe,"1,00 Kg",40.0,40.0,2021-07-05
Czereśnia,krajowe,"1,00 Kg",8.0,14.0,2021-07-05
Gruszka  Konferencja,krajowe,"1,00 Kg",2.0,4.0,2021-07-05
Jabłko Alva,krajowe,"15,00 Kg",20.0,35.0,2021-07-05
Jabłko Champion,krajowe,"15,00 Kg",15.0,30.0,2021-07-05
Jabłko Cortland,krajowe,"15,00 Kg",25.0,50.0,2021-07-05
Jabłko Empire,krajowe,"15,00 Kg",25.0,50.0,2021-07-05
Jabłko Jonagored,krajowe,"15,00 Kg",15.0,25.0,2021-07-05
Jabłko Ligol,krajowe,"15,00 Kg",15.0,30.0,2021-07-05
Jabłko Lobo,krajowe,"15,00 Kg",25.0,50.0,2021-07-05
Jabłko Prince,krajowe,"15,00 Kg",15.0,25.0,2021-07-05
Jabłko Szara Reneta,krajowe,"15,00 Kg",35.0,60.0,2021-07-05
Malina,krajowe,"250,00 g",5.0,8.0,2021-07-05
Truskawka,krajowe,"2,00 Kg",8.0,12.0,2021-07-05
Batat,import,"1,00 Kg",8.0,10.0,2021-07-05
Cukinia,import,"1,00 Kg",5.0,8.0,2021-07-05
Cykoria,import,"1,00 szt.",6.0,6.0,2021-07-05
Imbir,import,"1,00 Kg",18.0,20.0,2021-07-05
Papryka Chili,import,"1,00 Kg",17.0,23.0,2021-07-05
Papryka Czerwona,import,"5,00 Kg",55.0,65.0,2021-07-05
Pomidor Cherry Hiszpania,import,"250,00 g",5.0,6.0,2021-07-05
Pomidor Hiszpania gałązka,import,"3,00 Kg",50.0,55.0,2021-07-05
Rukola,import,"100,00 g",3.5,4.0,2021-07-05
Sałata lodowa,import,"1,00 szt.",2.5,3.0,2021-07-05
Sałata mix,import,"150,00 g",3.5,4.0,2021-07-05
Seler naciowy,import,"1,00 szt.",3.0,4.0,2021-07-05
Bób,krajowe,"1,00 Kg",5.0,8.0,2021-07-05
Botwinka,krajowe,"10,00 szt.",15.0,25.0,2021-07-05
Brokuł,krajowe,"1,00 szt.",2.0,3.0,2021-07-05
Burak młody cięty,krajowe,"10,00 Kg",10.0,30.0,2021-07-05
