product,origin,quantity,lowest_price,highest_price,date
Rukola,import,"100,00 g",3.5,4.0,2021-07-14
Sałata lodowa,import,"1,00 szt.",2.5,3.0,2021-07-14
Sałata mix,import,"150,00 g",3.5,4.0,2021-07-14
Seler naciowy,import,"1,00 szt.",3.0,4.0,2021-07-14
Bób,krajowe,"1,00 Kg",5.0,8.0,2021-07-14
Botwinka,krajowe,"10,00 szt.",15.0,25.0,2021-07-14
Brokuł,krajowe,"1,00 szt.",2.0,3.0,2021-07-14
Burak młody cięty,krajowe,"10,00 Kg",10.0,30.0,2021-07-14
Cebula biała,krajowe,"5,00 Kg",17.5,20.0,2021-07-14
Cebula dymka ze szczypiorem młoda,krajowe,"1,00 szt.",1.5,2.5,2021-07-14
Cebula z łuską,krajowe,"15,00 Kg",18.0,25.0,2021-07-14
Chrzan,krajowe,"5,00 Kg",50.0,70.0,2021-07-14
Czosnek,krajowe,"1,00 szt.",1.0,3.0,2021-07-14
Fasola zielona,krajowe,"1,00 Kg",6.0,9.0,2021-07-14
Fasola  żółta,krajowe,"1,00 Kg",3.0,6.0,2021-07-14
Kalafior,krajowe,"1,00 szt.",1.5,5.0,2021-07-14
Kapusta czerwona,krajowe,"10,00 Kg",15.0,25.0,2021-07-14
Kapusta kwaszona ,krajowe,"1,00 Kg",3.0,4.0,2021-07-14
Kapusta kwaszona młoda,krajowe,"1,00 Kg",7.0,7.0,2021-07-14
Kapusta młoda,krajowe,"1,00 szt.",1.5,3.0,2021-07-14
Kapusta pekińska ,krajowe,"5,00 Kg",15.0,25.0,2021-07-14
Kapusta włoska,krajowe,"1,00 szt.",8.0,10.0,2021-07-14
Kapusta worek,krajowe,"20,00 Kg",30.0,40.0,2021-07-14
Koper,krajowe,"10,00 szt.",15.0,20.0,2021-07-14
Koper do kiszenia,krajowe,"10,00 szt.",12.0,20.0,2021-07-14
Kukurydza,krajowe,"1,00 szt.",3.0,3.0,2021-07-14
Marchew ,krajowe,"10,00 Kg",15.0,22.0,2021-07-14
Nać Pietruszki,krajowe,"10,00 szt.",8.0,14.0,2021-07-14
Ogórek,krajowe,"5,00 Kg",7.5,13.0,2021-07-14
Ogórek kiszeniak,krajowe,"1,00 Kg",2.0,4.0,2021-07-14
Ogórek kiszony,krajowe,"1,00 Kg",6.0,7.0,2021-07-14
Ogórek małosolny,krajowe,"1,00 Kg",11.0,11.0,2021-07-14
Papryka czerwona,krajowe,"5,00 Kg",40.0,50.0,2021-07-14
Papryka zielona,krajowe,"5,00 Kg",15.0,30.0,2021-07-14
Pieczarka,krajowe,"4,00 Kg",28.0,38.0,2021-07-14
Pietruszka,krajowe,"5,00 Kg",45.0,60.0,2021-07-14
Pietruszka z nacią,krajowe,"10,00 szt.",22.0,28.0,2021-07-14
Pomidor,krajowe,"6,00 Kg",15.0,25.0,2021-07-14
Pomidor malinowy,krajowe,"6,00 Kg",20.0,30.0,2021-07-14
Por,krajowe,"10,00 szt.",10.0,20.0,2021-07-14
Rabarbar,krajowe,"5,00 Kg",10.0,16.0,2021-07-14
Rzodkiewka,krajowe,"1,00 szt.",1.0,1.5,2021-07-14
Sałata,krajowe,"1,00 szt.",2.0,3.0,2021-07-14
Seler,krajowe,"5,00 Kg",15.0,20.0,2021-07-14
Seler z nacią,krajowe,"10,00 szt.",22.0,25.0,2021-07-14
Szczaw,krajowe,"1,00 szt.",1.0,2.0,2021-07-14
Szczypiorek,krajowe,"10,00 szt.",8.0,11.0,2021-07-14
Szparagi,krajowe,"0,50 Kg",6.0,8.0,2021-07-14
Włoszczyzna młoda,krajowe,"10,00 szt.",25.0,35.0,2021-07-14
Zestaw do kiszenia,krajowe,"1,00 szt.",2.0,2.5,2021-07-14
Ziemniak młody drobny,krajowe,"15,00 Kg",8.0,15.0,2021-07-14
Zmieniak młody,krajowe,"15,00 Kg",15.0,23.0,2021-07-14
Ananas,import,"1,00 szt.",5.0,10.0,2021-07-16
Arbuz,import,"1,00 Kg",3.0,5.0,2021-07-16
Arbuz bezpestkowy,import,"1,00 Kg",3.7,4.0,2021-07-16
Avocado,import,"1,00 szt.",4.0,6.0,2021-07-16
Banan,import,"18,00 Kg",75.0,80.0,2021-07-16
Brzoskwinia,import,"1,00 Kg",6.0,8.0,2021-07-16
Brzoskwinia Ufo,import,"5,00 Kg",45.0,50.0,2021-07-16
Cytryna Argentyna,import,"1,00 Kg",8.0,8.0,2021-07-16
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-07-16
Granat,import,"1,00 szt.",4.0,6.0,2021-07-16
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-07-16
Gruszka,import,"12,00 Kg",80.0,85.0,2021-07-16
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-07-16
Limonka,import,"1,00 Kg",12.0,15.0,2021-07-16
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-07-16
Mango,import,"1,00 szt.",3.5,6.0,2021-07-16
Melon,import,"1,00 szt.",5.0,8.0,2021-07-16
Morela,import,"5,00 Kg",60.0,70.0,2021-07-16
Nektarynka,import,"1,00 Kg",7.0,9.0,2021-07-16
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-07-16
Śliwka,import,"5,00 Kg",55.0,60.0,2021-07-16
Winogrono Jasne,import,"5,00 Kg",65.0,75.0,2021-07-16
Winogrono Jasne Włoskie,import,"1,00 Kg",9.0,11.0,2021-07-16
Agrest,krajowe,"1,00 Kg",3.5,4.5,2021-07-16
Borówka,krajowe,"250,00 g",5.0,7.0,2021-07-16
Borówka luz,krajowe,"1,00 Kg",18.0,22.0,2021-07-16
Czereśnia,krajowe,"1,00 Kg",5.0,9.0,2021-07-16
Gruszka  Konferencja,krajowe,"1,00 Kg",2.0,4.0,2021-07-16
Jabłko Alva,krajowe,"15,00 Kg",20.0,35.0,2021-07-16
Jabłko Champion,krajowe,"15,00 Kg",15.0,30.0,2021-07-16
Jabłko Cortland,krajowe,"15,00 Kg",25.0,50.0,2021-07-16
Jabłko Empire,krajowe,"15,00 Kg",25.0,50.0,2021-07-16
Jabłko Jonagored,krajowe,"15,00 Kg",15.0,25.0,2021-07-16
Jabłko Ligol,krajowe,"15,00 Kg",15.0,30.0,2021-07-16
Jabłko Lobo,krajowe,"15,00 Kg",25.0,50.0,2021-07-16
Jabłko Prince,krajowe,"15,00 Kg",15.0,25.0,2021-07-16
Jabłko Szara Reneta,krajowe,"15,00 Kg",35.0,60.0,2021-07-16
Jagoda,krajowe,"1,00 Kg",20.0,23.0,2021-07-16
Jeżyna,krajowe,"250,00 g",10.0,12.5,2021-07-16
Malina,krajowe,"0,50 Kg",5.0,8.0,2021-07-16
Malina,krajowe,"250,00 g",3.5,4.5,2021-07-16
Porzeczka czerwona,krajowe,"1,00 Kg",3.0,5.0,2021-07-16
Truskawka,krajowe,"2,00 Kg",9.0,14.0,2021-07-16
Truskawka Malwina,krajowe,"2,00 Kg",9.0,14.0,2021-07-16
Wiśnia,krajowe,"1,00 Kg",3.0,5.0,2021-07-16
Batat,import,"1,00 Kg",8.0,10.0,2021-07-16
Cykoria,import,"1,00 szt.",6.0,6.0,2021-07-16
Imbir,import,"1,00 Kg",18.0,20.0,2021-07-16
Papryka Chili,import,"1,00 Kg",17.0,23.0,2021-07-16
Papryka Czerwona,import,"5,00 Kg",50.0,58.0,2021-07-16
Pomidor Cherry Hiszpania,import,"250,00 g",5.0,6.0,2021-07-16
Pomidor Hiszpania gałązka,import,"3,00 Kg",40.0,50.0,2021-07-16
Rukola,import,"100,00 g",3.5,4.0,2021-07-16
Sałata lodowa,import,"1,00 szt.",2.5,3.0,2021-07-16
Sałata mix,import,"150,00 g",3.5,4.0,2021-07-16
Seler naciowy,import,"1,00 szt.",3.0,4.0,2021-07-16
Bób,krajowe,"1,00 Kg",5.0,8.0,2021-07-16
Botwinka,krajowe,"10,00 szt.",15.0,25.0,2021-07-16
Brokuł,krajowe,"1,00 szt.",2.0,3.0,2021-07-16
Burak młody cięty,krajowe,"10,00 Kg",10.0,30.0,2021-07-16
Cebula biała,krajowe,"5,00 Kg",17.5,20.0,2021-07-16
Cebula dymka ze szczypiorem młoda,krajowe,"1,00 szt.",1.5,2.5,2021-07-16
Cebula z łuską,krajowe,"15,00 Kg",18.0,25.0,2021-07-16
Chrzan,krajowe,"5,00 Kg",50.0,70.0,2021-07-16
Czosnek,krajowe,"1,00 szt.",1.0,3.0,2021-07-16
Fasola zielona,krajowe,"1,00 Kg",6.0,9.0,2021-07-16
Fasola  żółta,krajowe,"1,00 Kg",3.0,6.0,2021-07-16
Kalafior,krajowe,"1,00 szt.",1.5,5.0,2021-07-16
Kapusta czerwona,krajowe,"10,00 Kg",15.0,25.0,2021-07-16
Kapusta kwaszona ,krajowe,"1,00 Kg",3.0,4.0,2021-07-16
Kapusta kwaszona młoda,krajowe,"1,00 Kg",7.0,7.0,2021-07-16
Kapusta młoda,krajowe,"1,00 szt.",1.5,3.0,2021-07-16
Kapusta pekińska ,krajowe,"5,00 Kg",15.0,25.0,2021-07-16
Kapusta włoska,krajowe,"1,00 szt.",8.0,10.0,2021-07-16
Kapusta worek,krajowe,"20,00 Kg",30.0,40.0,2021-07-16
Koper,krajowe,"10,00 szt.",15.0,20.0,2021-07-16
Koper do kiszenia,krajowe,"10,00 szt.",12.0,20.0,2021-07-16
Kukurydza,krajowe,"1,00 szt.",3.0,3.0,2021-07-16
Marchew ,krajowe,"10,00 Kg",15.0,22.0,2021-07-16
Nać Pietruszki,krajowe,"10,00 szt.",8.0,14.0,2021-07-16
Ogórek,krajowe,"5,00 Kg",7.5,13.0,2021-07-16
Ogórek kiszeniak,krajowe,"1,00 Kg",2.0,4.0,2021-07-16
Ogórek kiszony,krajowe,"1,00 Kg",6.0,7.0,2021-07-16
Ogórek małosolny,krajowe,"1,00 Kg",11.0,11.0,2021-07-16
Papryka czerwona,krajowe,"5,00 Kg",40.0,50.0,2021-07-16
Papryka zielona,krajowe,"5,00 Kg",15.0,30.0,2021-07-16
Pieczarka,krajowe,"4,00 Kg",28.0,38.0,2021-07-16
Pietruszka,krajowe,"5,00 Kg",45.0,60.0,2021-07-16
Pietruszka z nacią,krajowe,"10,00 szt.",22.0,28.0,2021-07-16
Pomidor,krajowe,"6,00 Kg",15.0,25.0,2021-07-16
Pomidor malinowy,krajowe,"6,00 Kg",20.0,30.0,2021-07-16
Por,krajowe,"10,00 szt.",10.0,20.0,2021-07-16
Rabarbar,krajowe,"5,00 Kg",10.0,16.0,2021-07-16
Rzodkiewka,krajowe,"1,00 szt.",1.0,1.5,2021-07-16
Sałata,krajowe,"1,00 szt.",2.0,3.0,2021-07-16
Seler,krajowe,"5,00 Kg",15.0,20.0,2021-07-16
Seler z nacią,krajowe,"10,00 szt.",22.0,25.0,2021-07-16
Szczaw,krajowe,"1,00 szt.",1.0,2.0,2021-07-16
Szczypiorek,krajowe,"10,00 szt.",8.0,11.0,2021-07-16
Szparagi,krajowe,"0,50 Kg",6.0,8.0,2021-07-16
Włoszczyzna młoda,krajowe,"10,00 szt.",25.0,35.0,2021-07-16
Zestaw do kiszenia,krajowe,"1,00 szt.",2.0,2.5,2021-07-16
Ziemniak młody drobny,krajowe,"15,00 Kg",8.0,15.0,2021-07-16
Zmieniak młody,krajowe,"15,00 Kg",15.0,23.0,2021-07-16
Ananas,import,"1,00 szt.",5.0,10.0,2021-08-13
Arbuz,import,"1,00 Kg",2.0,2.8,2021-08-13
Arbuz bezpestkowy,import,"1,00 Kg",3.7,4.0,2021-08-13
Avocado,import,"1,00 szt.",4.0,6.0,2021-08-13
Banan,import,"18,00 Kg",60.0,65.0,2021-08-13
Brzoskwinia,import,"1,00 Kg",6.0,8.0,2021-08-13
Brzoskwinia Ufo,import,"5,00 Kg",40.0,50.0,2021-08-13
Cytryna Argentyna,import,"1,00 Kg",8.0,8.0,2021-08-13
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-08-13
Granat,import,"1,00 szt.",4.0,6.0,2021-08-13
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-08-13
Gruszka,import,"10,00 Kg",60.0,65.0,2021-08-13
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-08-13
Limonka,import,"1,00 Kg",12.0,15.0,2021-08-13
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-08-13
Mango,import,"1,00 szt.",3.5,6.0,2021-08-13
Melon,import,"1,00 szt.",5.0,8.0,2021-08-13
Morela,import,"5,00 Kg",50.0,60.0,2021-08-13
Nektarynka,import,"1,00 Kg",7.0,9.0,2021-08-13
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-08-13
Śliwka,import,"5,00 Kg",55.0,60.0,2021-08-13
Winogrono Jasne,import,"5,00 Kg",45.0,50.0,2021-08-13
Winogrono Jasne Włoskie,import,"1,00 Kg",9.0,11.0,2021-08-13
Winogrono rodzynkowe,import,"5,00 Kg",50.0,55.0,2021-08-13
Borówka,krajowe,"250,00 g",3.0,4.0,2021-08-13
Borówka luz,krajowe,"1,00 Kg",9.0,13.0,2021-08-13
Brzoskwinia,krajowe,"1,00 Kg",3.0,6.0,2021-08-13
Czereśnia,krajowe,"1,00 Kg",8.0,12.0,2021-08-13
Jabłko Alva,krajowe,"15,00 Kg",20.0,30.0,2021-08-13
Jabłko Antonówka,krajowe,"15,00 Kg",25.0,35.0,2021-08-13
Jabłko Champion,krajowe,"15,00 Kg",15.0,30.0,2021-08-13
Jabłko Delikates,krajowe,"15,00 Kg",25.0,35.0,2021-08-13
Jabłko Geneva Młode,krajowe,"15,00 Kg",20.0,35.0,2021-08-13
Jabłko Jonagored,krajowe,"15,00 Kg",15.0,25.0,2021-08-13
Jabłko Ligol,krajowe,"15,00 Kg",15.0,30.0,2021-08-13
Jabłko Lobo,krajowe,"15,00 Kg",25.0,40.0,2021-08-13
Jabłko Papierówka,krajowe,"15,00 Kg",25.0,45.0,2021-08-13
Jabłko Paulared,krajowe,"15,00 Kg",25.0,35.0,2021-08-13
Jabłko Piros,krajowe,"15,00 Kg",20.0,35.0,2021-08-13
Jabłko Prince,krajowe,"15,00 Kg",15.0,25.0,2021-08-13
Jabłko Szara Reneta,krajowe,"15,00 Kg",35.0,60.0,2021-08-13
Jagoda,krajowe,"1,00 Kg",20.0,25.0,2021-08-13
Jeżyna,krajowe,"250,00 g",4.0,5.0,2021-08-13
Malina,krajowe,"0,50 Kg",10.0,11.0,2021-08-13
Malina,krajowe,"250,00 g",6.0,7.0,2021-08-13
Morela,krajowe,"1,00 Kg",5.0,6.0,2021-08-13
Porzeczka czerwona,krajowe,"1,00 Kg",3.0,5.0,2021-08-13
Śliwka Kalipso,krajowe,"1,00 Kg",3.0,4.0,2021-08-13
Śliwka Katinka,krajowe,"1,00 Kg",2.5,4.0,2021-08-13
Śliwka Lepotica,krajowe,"1,00 Kg",2.0,3.0,2021-08-13
Śliwka Rana,krajowe,"1,00 Kg",2.5,5.0,2021-08-13
Śliwka Węgierka Dąbrowicka,krajowe,"1,00 Kg",3.0,4.0,2021-08-13
Truskawka,krajowe,"2,00 Kg",20.0,25.0,2021-08-13
Wiśnia,krajowe,"1,00 Kg",2.6,3.4,2021-08-13
Wiśnia Groniasta Deserowa,krajowe,"1,00 Kg",5.0,7.0,2021-08-13
Batat,import,"1,00 Kg",8.0,10.0,2021-08-13
Cykoria,import,"1,00 szt.",6.0,6.0,2021-08-13
Imbir,import,"1,00 Kg",18.0,20.0,2021-08-13
Papryka Chili,import,"1,00 Kg",17.0,23.0,2021-08-13
Pomidor Cherry Hiszpania,import,"250,00 g",5.0,6.0,2021-08-13
Pomidor Hiszpania gałązka,import,"3,00 Kg",30.0,35.0,2021-08-13
Rukola,import,"100,00 g",3.5,4.0,2021-08-13
Sałata lodowa,import,"1,00 szt.",2.5,3.0,2021-08-13
Sałata mix,import,"150,00 g",3.5,4.0,2021-08-13
Seler naciowy,import,"1,00 szt.",3.0,4.0,2021-08-13
Bakłażan,krajowe,"5,00 Kg",15.0,25.0,2021-08-13
Bób,krajowe,"1,00 Kg",6.0,8.0,2021-08-13
Botwinka,krajowe,"10,00 szt.",15.0,25.0,2021-08-13
Brokuł,krajowe,"1,00 szt.",1.5,3.0,2021-08-13
Burak młody cięty,krajowe,"10,00 Kg",8.0,16.0,2021-08-13
Cebula biała,krajowe,"5,00 Kg",12.0,18.0,2021-08-13
Cebula dymka ze szczypiorem młoda,krajowe,"1,00 szt.",1.5,2.5,2021-08-13
Cebula z łuską,krajowe,"15,00 Kg",18.0,25.0,2021-08-13
Chrzan,krajowe,"5,00 Kg",50.0,75.0,2021-08-13
Cukinia,krajowe,"5,00 Kg",10.0,18.0,2021-08-13
Czosnek,krajowe,"1,00 szt.",1.0,3.0,2021-08-13
Dynia,krajowe,"1,00 Kg",2.0,2.5,2021-08-13
Fasola zielona,krajowe,"1,00 Kg",3.0,5.0,2021-08-13
Fasola  żółta,krajowe,"1,00 Kg",3.0,5.0,2021-08-13
Kalafior,krajowe,"1,00 szt.",3.0,6.0,2021-08-13
Kapusta czerwona,krajowe,"10,00 Kg",15.0,25.0,2021-08-13
Kapusta kwaszona ,krajowe,"1,00 Kg",3.0,3.0,2021-08-13
Kapusta kwaszona młoda,krajowe,"1,00 Kg",4.0,5.0,2021-08-13
Kapusta młoda,krajowe,"1,00 szt.",1.5,3.0,2021-08-13
Kapusta pekińska ,krajowe,"5,00 Kg",10.0,22.0,2021-08-13
Kapusta włoska,krajowe,"1,00 szt.",3.0,5.0,2021-08-13
Kapusta worek,krajowe,"20,00 Kg",30.0,40.0,2021-08-13
Koper,krajowe,"10,00 szt.",15.0,25.0,2021-08-13
Koper do kiszenia,krajowe,"10,00 szt.",8.0,15.0,2021-08-13
Kukurydza,krajowe,"1,00 szt.",2.0,3.0,2021-08-13
Marchew ,krajowe,"10,00 Kg",10.0,16.0,2021-08-13
Nać Pietruszki,krajowe,"10,00 szt.",6.0,12.0,2021-08-13
Ogórek,krajowe,"5,00 Kg",15.0,20.0,2021-08-13
Ogórek kiszeniak,krajowe,"1,00 Kg",4.0,5.0,2021-08-13
Ogórek kiszony,krajowe,"1,00 Kg",6.0,6.0,2021-08-13
Ogórek kiszony młody,krajowe,"1,00 Kg",7.0,7.0,2021-08-13
Ogórek małosolny,krajowe,"1,00 Kg",7.0,7.0,2021-08-13
Papryka Blondy,krajowe,"5,00 Kg",15.0,20.0,2021-08-13
Papryka czerwona,krajowe,"5,00 Kg",15.0,22.0,2021-08-13
Papryka zielona,krajowe,"5,00 Kg",10.0,20.0,2021-08-13
Papryka żółta ,krajowe,"5,00 Kg",15.0,22.0,2021-08-13
Pieczarka,krajowe,"4,00 Kg",28.0,38.0,2021-08-13
Pietruszka,krajowe,"5,00 Kg",30.0,40.0,2021-08-13
Pietruszka z nacią,krajowe,"10,00 szt.",15.0,25.0,2021-08-13
Pomidor,krajowe,"6,00 Kg",30.0,40.0,2021-08-13
Pomidor malinowy,krajowe,"6,00 Kg",30.0,40.0,2021-08-13
Pomidor polny,krajowe,"18,00 Kg",50.0,65.0,2021-08-13
Por,krajowe,"10,00 szt.",10.0,20.0,2021-08-13
Rabarbar,krajowe,"5,00 Kg",15.0,17.5,2021-08-13
Rzodkiewka,krajowe,"1,00 szt.",1.4,1.8,2021-08-13
Sałata,krajowe,"1,00 szt.",2.0,3.0,2021-08-13
Sałata lodowa,krajowe,"1,00 szt.",2.5,3.5,2021-08-13
Seler,krajowe,"5,00 Kg",20.0,25.0,2021-08-13
Seler z nacią,krajowe,"10,00 szt.",15.0,22.0,2021-08-13
Szczaw,krajowe,"1,00 szt.",1.0,2.0,2021-08-13
Szczypiorek,krajowe,"10,00 szt.",8.0,11.0,2021-08-13
Włoszczyzna młoda,krajowe,"10,00 szt.",20.0,30.0,2021-08-13
Zestaw do kiszenia,krajowe,"1,00 szt.",2.0,2.5,2021-08-13
Zmieniak młody,krajowe,"15,00 Kg",8.0,15.0,2021-08-13
Ananas,import,"1,00 szt.",5.0,10.0,2022-05-04
Avocado,import,"1,00 szt.",4.0,6.0,2022-05-04
Banan,import,"18,00 Kg",95.0,105.0,2022-05-04
Borówka,import,"125,00 g",6.0,7.0,2022-05-04
Cytryna Hiszpania,import,"10,00 Kg",60.0,70.0,2022-05-04
Granat,import,"1,00 szt.",4.0,6.0,2022-05-04
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2022-05-04
Gruszka Konferencja,import,"12,00 Kg",70.0,75.0,2022-05-04
Kiwi koszyk,import,"1,00 Kg",8.0,10.0,2022-05-04
Limonka,import,"1,00 Kg",12.0,15.0,2022-05-04
Malina,import,"125,00 g",10.0,12.0,2022-05-04
Mandarynka,import,"10,00 Kg",50.0,70.0,2022-05-04
Mandarynka Hiszpania,import,"10,00 Kg",60.0,80.0,2022-05-04
Mango,import,"1,00 szt.",3.5,6.0,2022-05-04
Melon,import,"1,00 szt.",8.0,10.0,2022-05-04
Pomarańcza,import,"1,00 Kg",6.0,7.0,2022-05-04
Truskawka,import,"1,00 Kg",10.0,13.0,2022-05-04
Winogrono,import,"8,20 Kg",170.0,175.0,2022-05-04
Winogrono,import,"4,50 Kg",75.0,85.0,2022-05-04
Winogrono Jasne,import,"4,50 Kg",70.0,80.0,2022-05-04
Winogrono różowe,import,"8,20 Kg",100.0,110.0,2022-05-04
Gruszka  Konferencja,krajowe,"1,00 Kg",2.5,5.0,2022-05-04
Jabłko Champion,krajowe,"15,00 Kg",15.0,30.0,2022-05-04
Jabłko Cortland,krajowe,"15,00 Kg",25.0,50.0,2022-05-04
Jabłko Jonagored,krajowe,"15,00 Kg",15.0,30.0,2022-05-04
Jabłko Ligol,krajowe,"15,00 Kg",15.0,30.0,2022-05-04
Jabłko Lobo,krajowe,"15,00 Kg",25.0,50.0,2022-05-04
Jabłko Prince,krajowe,"15,00 Kg",15.0,30.0,2022-05-04
Jabłko Szara Reneta,krajowe,"15,00 Kg",20.0,40.0,2022-05-04
Batat,import,"1,00 Kg",6.0,8.0,2022-05-04
Brokuł,import,"1,00 szt.",4.5,5.0,2022-05-04
Cukinia,import,"1,00 Kg",7.0,8.0,2022-05-04
Cykoria,import,"1,00 szt.",6.0,6.0,2022-05-04
Imbir,import,"1,00 Kg",13.0,18.0,2022-05-04
Papryka Chili,import,"1,00 Kg",17.0,23.0,2022-05-04
Papryka Czerwona,import,"1,00 Kg",9.0,11.0,2022-05-04
Pomidor Cherry Hiszpania,import,"250,00 g",6.0,7.0,2022-05-04
Pomidor Turcja,import,"1,00 Kg",11.0,14.0,2022-05-04
Rukola,import,"100,00 g",4.0,5.0,2022-05-04
Rzodkiewka,import,"1,00 szt.",1.7,2.2,2022-05-04
Sałata,import,"1,00 szt.",2.6,3.8,2022-05-04
Sałata lodowa,import,"1,00 szt.",8.0,10.0,2022-05-04
Sałata mix,import,"150,00 g",4.0,4.5,2022-05-04
Seler naciowy,import,"1,00 szt.",3.0,4.0,2022-05-04
Ziemniak Cypr,import,"1,00 Kg",3.5,3.75,2022-05-04
Botwinka,krajowe,"10,00 szt.",30.0,40.0,2022-05-04
Brukselka,krajowe,"1,00 Kg",5.5,6.5,2022-05-04
Burak ,krajowe,"10,00 Kg",16.0,20.0,2022-05-04
Cebula z łuską,krajowe,"15,00 Kg",15.0,24.0,2022-05-04
Chrzan,krajowe,"5,00 Kg",50.0,55.0,2022-05-04
Czosnek,krajowe,"1,00 szt.",1.0,3.0,2022-05-04
Dynia,krajowe,"1,00 Kg",2.5,5.0,2022-05-04
kapusta,krajowe,"1,00 szt.",1.5,3.0,2022-05-04
Kapusta czerwona,krajowe,"10,00 Kg",20.0,30.0,2022-05-04
Kapusta kwaszona ,krajowe,"1,00 Kg",3.0,3.0,2022-05-04
Kapusta pekińska ,krajowe,"5,00 Kg",25.0,35.0,2022-05-04
Kapusta włoska,krajowe,"1,00 szt.",5.0,8.0,2022-05-04
Kapusta worek,krajowe,"20,00 Kg",28.0,40.0,2022-05-04
Koper,krajowe,"10,00 szt.",16.0,22.0,2022-05-04
Marchew ,krajowe,"10,00 Kg",12.0,17.0,2022-05-04
Nać Pietruszki,krajowe,"10,00 szt.",10.0,12.0,2022-05-04
Ogórek,krajowe,"5,00 Kg",30.0,40.0,2022-05-04
Ogórek kiszeniak,krajowe,"1,00 Kg",7.0,9.0,2022-05-04
Ogórek kiszony,krajowe,"1,00 Kg",6.5,7.0,2022-05-04
Ogórek małosolny,krajowe,"1,00 Kg",16.0,17.0,2022-05-04
Pieczarka,krajowe,"3,00 Kg",22.0,24.0,2022-05-04
Pietruszka,krajowe,"5,00 Kg",15.0,20.0,2022-05-04
Pomidor,krajowe,"6,00 Kg",35.0,50.0,2022-05-04
Pomidor malinowy,krajowe,"6,00 Kg",45.0,55.0,2022-05-04
Por,krajowe,"5,00 Kg",15.0,20.0,2022-05-04
Rzodkiewka,krajowe,"1,00 szt.",1.5,2.3,2022-05-04
Sałata,krajowe,"1,00 szt.",2.5,3.5,2022-05-04
Seler,krajowe,"5,00 Kg",12.0,17.0,2022-05-04
Szczypiorek,krajowe,"10,00 szt.",10.0,15.0,2022-05-04
Włoszczyzna ,krajowe,"10,00 szt.",24.0,34.0,2022-05-04
Ziemniak,krajowe,"15,00 Kg",14.0,19.0,2022-05-04
